iso,Governance (G): Accessibility coverage & data,Governance (G): Data management,Governance (G): Data sharing frameworks,Governance (G): Data protection,Governance (G): Language coverage & data,Governance (G): Open data policy,Governance,Country Name,Governance (G): Accessibility coverage & data,Governance (G): Data management,Governance (G): Data sharing frameworks,Governance (G): Data protection,Governance (G): Language coverage & data,Governance (G): Open data policy,Governance
PER,59,45,45,56,0,54,52,Peru,59,45,45,56,0,54,52
PHL,24,0,72,90,0,50,47,Philippines,24,0,72,90,0,50,47
PRT,59,10,0,100,0,70,48,Portugal,59,10,0,100,0,70,48
PRY,40,32,54,54,0,34,43,Paraguay,40,32,54,54,0,34,43
PSE,0,13,0,0,0,38,10,State of Palestine,0,13,0,0,0,38,10
QAT,0,0,0,80,0,40,24,Qatar,0,0,0,80,0,40,24
ROU,80,40,20,100,0,30,54,Romania,80,40,20,100,0,30,54
RUS,24,35,31,32,0,54,35,Russian Federation,24,35,31,32,0,54,35
RWA,0,50,72,16,75,63,40,Rwanda,0,50,72,16,75,63,40
SAU,0,72,36,58,0,63,46,Saudi Arabia,0,72,36,58,0,63,46
SEN,0,0,0,64,0,0,13,Senegal,0,0,0,64,0,0,13
SLE,40,0,0,0,0,0,8,Sierra Leone,40,0,0,0,0,0,8
SLV,40,0,10,0,0,0,10,El Salvador,40,0,10,0,0,0,10
SVK,40,80,18,90,0,63,58,Slovakia,40,80,18,90,0,63,58
SWE,40,38,40,100,0,0,44,Sweden,40,38,40,100,0,0,44
TGO,0,0,9,54,0,0,13,Togo,0,0,9,54,0,0,13
THA,40,57,16,72,0,70,51,Thailand,40,57,16,72,0,70,51
TJK,0,0,20,50,0,38,22,Tajikistan,0,0,20,50,0,38,22
TKM,0,0,0,48,0,0,10,Turkmenistan,0,0,0,48,0,0,10
TTO,40,0,0,46,0,0,17,Trinidad and Tobago,40,0,0,46,0,0,17
TUN,0,40,60,70,0,80,50,Tunisia,0,40,60,70,0,80,50
TWN,50,45,45,49,0,72,52,Taiwan,50,45,45,49,0,72,52
UGA,40,80,27,100,100,0,50,Uganda,40,80,27,100,100,0,50
UKR,24,60,24,64,0,80,51,Ukraine,24,60,24,64,0,80,51
URY,59,90,50,80,0,80,72,Uruguay,59,90,50,80,0,80,72
USA,34,57,8,46,40,42,38,United States of America,34,57,8,46,40,42,38
UZB,24,61,40,66,40,69,52,Uzbekistan,24,61,40,66,40,69,52
VNM,40,54,63,36,90,36,46,Viet Nam,40,54,63,36,90,36,46
XKX,0,0,60,72,0,54,37,Kosovo,0,0,60,72,0,54,37
ZAF,0,60,0,100,0,0,32,South Africa,0,60,0,100,0,0,32
